metal_type,concentration,latitude,longitude,timestamp
Pb,37.56,26.4629,-105.0272,2025-01-05T08:26:00Z
As,6.12,38.7513,-116.1457,2025-11-15T17:02:00Z
Cr,33.05,16.5326,-142.1461,2025-09-26T22:48:00Z
Cd,6.66,44.5516,161.9437,2025-06-07T06:26:00Z
Hg,7.4,-83.6382,-155.7134,2025-05-15T02:56:00Z
Hg,4.73,53.5631,144.0733,2025-06-08T04:01:00Z
Cd,7.08,-36.3083,85.2006,2025-07-29T09:02:00Z
Hg,5.62,6.8904,-138.8763,2025-01-17T12:03:00Z
Cr,35.12,7.0286,40.988,2025-10-29T09:29:00Z
As,16.35,70.0266,98.1744,2025-01-12T23:44:00Z
Pb,11.93,-29.2957,-9.7824,2025-08-07T07:39:00Z
Hg,4.27,-55.2395,101.6477,2025-03-11T21:52:00Z
As,3.69,64.9714,-172.1598,2025-01-26T22:43:00Z
Cr,38.76,-87.9784,-140.7638,2025-06-23T19:32:00Z
Cd,4.19,-12.4044,75.1412,2025-09-21T00:06:00Z
Pb,35.24,34.2224,3.3042,2025-06-14T02:08:00Z
Cd,3.25,-23.2284,0.1066,2025-11-28T21:32:00Z
Cd,8.58,4.0359,110.9915,2025-08-14T05:40:00Z
As,4.4,-73.8608,64.048,2025-04-13T15:59:00Z
Hg,6.38,86.5123,128.9796,2025-06-01T03:27:00Z
Hg,6.06,-36.4357,32.3557,2025-02-21T15:04:00Z
Pb,30.88,21.775,119.1006,2025-03-01T07:49:00Z
As,14.22,-6.2323,-111.4218,2025-06-15T03:51:00Z
Hg,7.28,55.3367,-32.5106,2025-07-12T08:53:00Z
Cr,22.06,-9.8809,-142.2323,2025-03-13T06:51:00Z
As,9.83,46.2961,-55.5933,2025-04-25T20:52:00Z
Cr,59.16,-4.9817,-161.9051,2025-11-10T12:22:00Z
Pb,45.93,-31.0199,112.9632,2025-03-09T19:52:00Z
Cr,65.53,86.5224,34.4698,2025-06-18T00:51:00Z
Cr,39.07,16.3338,157.5935,2025-10-04T11:51:00Z
Cd,1.49,-48.1385,-36.5859,2025-07-01T22:33:00Z
Cd,7.67,60.6803,128.9584,2025-11-06T02:57:00Z
Cd,2.65,-55.1621,-114.0787,2025-06-25T11:06:00Z
Cd,1.09,70.2848,-174.1187,2025-01-28T16:56:00Z
Hg,0.2,-42.7416,31.3165,2025-01-05T08:22:00Z
Cd,9.79,-62.9696,75.4546,2025-06-18T09:02:00Z
Cd,6.76,-3.7178,175.5501,2025-04-13T00:31:00Z
Hg,3.65,12.5052,50.1068,2025-08-27T07:55:00Z
Pb,34.3,43.4722,148.4749,2025-03-30T08:01:00Z
Pb,44.74,-51.8402,128.8664,2025-11-03T18:30:00Z
Hg,6.81,-0.7742,-82.0811,2025-02-24T09:59:00Z
Hg,5.77,47.046,-154.3611,2025-10-07T06:15:00Z
Hg,2.01,71.3256,-148.0032,2025-04-03T09:45:00Z
Hg,2.23,27.3549,-170.0177,2025-01-04T23:49:00Z
As,19.13,-79.7317,167.0121,2025-04-30T23:45:00Z
Hg,5.64,-30.8609,-8.2086,2025-05-08T07:33:00Z
Hg,8.65,-17.689,-115.7452,2025-07-31T01:13:00Z
Cd,0.54,-8.3276,-48.0612,2025-04-11T09:07:00Z
Hg,6.38,32.7561,-46.1488,2025-06-30T10:38:00Z
As,5.6,43.3293,-53.8554,2025-09-30T05:47:00Z
Pb,6.04,54.8001,-42.1875,2025-07-21T08:07:00Z
Cr,88.64,84.1566,-26.0218,2025-09-24T23:53:00Z
Hg,7.38,-76.9972,-167.7411,2025-03-07T09:28:00Z
Cd,3.39,0.5596,66.2976,2025-05-07T08:31:00Z
Hg,2.95,-64.0915,117.0353,2025-05-22T09:45:00Z
Cr,15.97,-65.8117,33.384,2025-12-17T11:28:00Z
Cr,53.15,31.5004,28.4145,2025-03-21T11:41:00Z
Pb,1.39,-12.8018,109.7793,2025-04-11T12:55:00Z
Pb,8.34,76.3799,-139.6573,2025-09-14T13:52:00Z
Cr,33.54,-0.9501,-119.753,2025-08-08T08:04:00Z
As,12.3,70.5933,-62.4482,2025-01-28T07:06:00Z
As,5.26,-33.6926,16.6717,2025-10-16T19:19:00Z
Cd,8.18,-22.5134,21.2576,2025-08-12T23:47:00Z
Pb,20.63,-42.4995,-109.8907,2025-01-22T12:25:00Z
As,8.7,-38.724,-10.4416,2025-09-30T06:57:00Z
As,6.84,-23.1608,37.2047,2025-06-01T16:29:00Z
As,10.93,-17.296,-56.9162,2025-12-10T22:58:00Z
Cr,17.94,-78.7591,-43.8581,2025-08-25T12:44:00Z
Cd,5.73,-10.9122,-107.8788,2025-04-25T22:03:00Z
Pb,26.49,51.8575,31.6738,2025-03-25T09:27:00Z
Pb,3.9,-44.7395,71.0035,2025-04-04T21:47:00Z
As,8.42,-12.327,-6.6683,2025-08-03T20:16:00Z
Pb,41.77,89.7623,-154.4381,2025-05-02T18:17:00Z
Hg,9.83,17.0891,170.9616,2025-09-20T11:01:00Z
Hg,3.1,-47.7231,-165.2733,2025-07-10T10:01:00Z
Cd,1.6,-68.0396,128.9887,2025-07-16T09:09:00Z
Pb,12.24,52.9956,-132.619,2025-11-02T09:08:00Z
As,1.95,-2.3433,60.5117,2025-12-12T08:26:00Z
As,15.44,-53.8882,-124.6298,2025-11-26T08:20:00Z
As,16.31,21.7996,72.0536,2025-07-20T11:53:00Z
Cd,2.44,-59.95,-142.6293,2025-07-11T22:27:00Z
Hg,5.2,52.2495,-59.3446,2025-03-29T19:08:00Z
As,5.89,-84.9854,126.2183,2025-08-07T15:11:00Z
Cd,4.64,-26.9039,-116.9475,2025-09-05T17:38:00Z
Cr,78.16,-56.3758,155.3784,2025-03-15T17:35:00Z
Hg,4.49,-45.5124,54.875,2025-12-31T18:57:00Z
Cr,86.91,18.2006,-149.5466,2025-05-23T13:45:00Z
Cd,7.06,80.7313,31.1615,2025-05-14T04:51:00Z
Cr,28.05,33.7673,-38.2099,2025-11-02T09:39:00Z
Hg,8.96,30.3612,35.5759,2025-03-11T07:21:00Z
Cr,54.36,58.2864,23.2797,2025-03-01T10:52:00Z
Cd,6.32,47.8883,-28.8244,2025-09-03T01:18:00Z
As,10.73,-25.9374,71.0464,2025-05-13T09:50:00Z
As,1.63,-62.9423,-74.4119,2025-09-04T07:05:00Z
Hg,2.97,65.1958,93.1839,2025-12-05T02:51:00Z
Cd,7.16,32.8822,-178.4236,2025-04-20T14:44:00Z
As,3.8,14.9222,163.2895,2025-05-11T02:38:00Z
Cr,22.38,0.2127,114.4406,2025-03-20T02:29:00Z
As,10.32,86.5606,176.498,2025-10-25T16:35:00Z
Cr,43.89,81.2825,161.9378,2025-05-19T09:07:00Z
Cr,74.57,-2.2877,-171.0926,2025-10-20T03:00:00Z
Pb,32.89,-67.384,68.8204,2025-12-20T09:22:00Z
Pb,17.26,-39.7034,81.4662,2025-04-28T06:46:00Z
Cd,4.06,41.7205,-79.9043,2025-01-07T11:55:00Z
As,2.92,-21.432,-4.215,2025-09-07T11:25:00Z
As,6.85,-34.2107,161.352,2025-06-22T13:30:00Z
Pb,15.38,-65.69,-92.5824,2025-06-14T07:06:00Z
Cd,4.69,-30.751,140.8334,2025-04-05T16:15:00Z
Cr,53.57,22.5596,-89.1912,2025-12-23T19:46:00Z
As,3.13,-53.2348,123.655,2025-12-15T15:55:00Z
Cr,46.5,-86.4353,60.9171,2025-10-06T09:12:00Z
Cr,98.19,89.0873,-105.4488,2025-06-19T16:19:00Z
Cd,3.92,67.84,166.1289,2025-03-03T00:50:00Z
Pb,15.59,53.9757,127.643,2025-04-18T09:39:00Z
Pb,37.96,19.5529,172.5032,2025-02-25T11:18:00Z
As,14.84,80.8266,117.6902,2025-06-26T00:58:00Z
As,10.7,84.2678,57.1548,2025-04-15T19:43:00Z
Cd,8.94,36.3422,-123.8604,2025-07-03T16:06:00Z
Cr,72.32,33.0035,38.9734,2025-10-22T03:39:00Z
Pb,39.69,42.2332,-64.5526,2025-10-28T09:13:00Z
Cd,7.25,86.3248,39.6164,2025-06-03T12:20:00Z
Cd,9.06,82.876,-35.8883,2025-05-04T21:17:00Z
Cr,7.97,46.0798,136.7471,2025-10-23T12:17:00Z
As,9.04,30.1572,-151.5965,2025-12-03T18:04:00Z
Hg,7.3,-83.5324,28.3666,2025-12-14T00:01:00Z
Hg,4.38,4.8888,-132.8913,2025-12-20T18:35:00Z
As,15.41,41.9922,-20.5839,2025-12-03T20:05:00Z
Cd,6.97,-1.2213,-93.185,2025-04-11T07:31:00Z
Hg,3.1,1.0702,-125.1309,2025-01-18T19:18:00Z
Cr,75.61,-59.9891,-101.3882,2025-06-04T05:34:00Z
Cd,3.86,-29.4293,-82.5041,2025-03-25T20:26:00Z
Hg,2.52,-25.5479,-88.4843,2025-04-08T06:52:00Z
Cd,7.76,85.2452,-157.2066,2025-05-20T05:03:00Z
Pb,31.43,-29.5181,-117.6411,2025-07-31T02:15:00Z
As,12.3,-58.0917,66.4714,2025-02-12T18:57:00Z
Cd,4.27,8.7198,-156.657,2025-06-04T12:55:00Z
Cr,65.19,-4.8009,-136.187,2025-09-05T09:39:00Z
Hg,6.34,2.6505,-171.1211,2025-10-17T02:30:00Z
Cd,9.98,53.9047,-33.4153,2025-08-26T20:05:00Z
Cr,37.67,-56.4364,-14.9853,2025-08-23T02:48:00Z
Cr,99.86,-5.0539,-164.4414,2025-12-11T19:42:00Z
Cd,5.05,84.7168,89.8454,2025-11-12T18:21:00Z
Pb,13.31,41.7094,66.3376,2025-12-28T18:51:00Z
Cr,39.5,-0.9044,68.1205,2025-12-16T15:32:00Z
As,15.31,54.8737,119.4171,2025-10-04T09:29:00Z
Pb,34.73,12.9638,-42.8604,2025-03-07T08:49:00Z
Cr,13.86,46.0683,41.817,2025-11-04T14:31:00Z
Hg,2.83,12.9645,38.963,2025-06-09T18:12:00Z
As,18.69,50.3533,-14.7224,2025-08-22T02:06:00Z
Cr,96.87,31.5774,150.5905,2025-12-08T18:45:00Z
Cd,9.38,45.9811,43.0963,2025-01-29T21:02:00Z
Hg,6.73,-38.3561,-47.9693,2025-11-13T05:21:00Z
Hg,9.71,-60.7188,-157.7247,2025-12-31T11:25:00Z
Hg,8.07,57.2778,1.6481,2025-09-05T17:58:00Z
Cd,3.54,25.3789,163.869,2025-08-12T15:29:00Z
Cd,2.32,-33.2565,-79.3974,2025-06-10T18:53:00Z
Cd,8.12,35.1361,18.3595,2025-10-30T23:31:00Z
Cr,61.28,-19.8361,46.4409,2025-07-26T00:03:00Z
Pb,40.91,-37.2519,169.802,2025-05-19T10:03:00Z
Cd,3.77,-62.9427,-104.9804,2025-11-07T16:52:00Z
Cd,4.09,-68.762,-100.5949,2025-02-19T22:32:00Z
As,6.09,-7.4677,-135.6353,2025-11-30T07:24:00Z
Cr,97.37,74.1374,91.8606,2025-12-09T21:11:00Z
As,6.84,1.2898,109.6753,2025-04-10T14:47:00Z
Pb,44.54,67.0723,-34.4839,2025-06-01T14:39:00Z
Hg,4.04,-2.0797,113.6471,2025-06-08T21:04:00Z
